tag,length,average_distance,point
sorted,105,52.48898809523816,0
sorted,106,52.99041863207559,0
sorted,107,53.49065420560767,0
sorted,108,53.99189814814821,0
sorted,109,54.48910550458721,0
sorted,110,54.989985795454395,0
sorted,111,55.490709459459524,0
sorted,112,55.99100167410718,0
sorted,113,56.490873893805365,0
sorted,114,56.99054276315794,0
sorted,115,57.49076086956531,0
sorted,116,57.99030172413802,0
sorted,117,58.489983974359056,0
sorted,118,58.99046610169477,0
sorted,119,59.4896271008402,0
sorted,120,59.99192708333338,0
sorted,121,60.490444214876234,0
sorted,122,60.99135502049168,0
sorted,123,61.491869918699294,0
sorted,124,61.98872227822584,0
sorted,125,62.48974999999968,0
sorted,126,62.990017361111164,0
sorted,127,63.49138779527565,0
sorted,128,63.992431640625,0
sorted,129,64.4894622093023,0
sorted,130,64.9919471153847,0
sorted,131,65.490935114504,0
sorted,132,65.99035274621198,0
sorted,133,66.48907424812037,0
sorted,134,66.99003031716418,0
sorted,135,67.48993055555562,0
sorted,136,67.99023437499989,0
sorted,137,68.4888229927006,0
sorted,138,68.99190443840564,0
sorted,139,69.4890962230215,0
sorted,140,69.99207589285723,0
sorted,141,70.48914007092178,0
sorted,142,70.99147227112688,0
sorted,143,71.491258741259,0
sorted,144,71.98942057291667,0
sorted,145,72.48900862068948,0
sorted,146,72.98844178082204,0
sorted,147,73.49053996598659,0
sorted,148,73.99033994932444,0
sorted,149,74.4911912751679,0
sorted,150,74.99067708333325,0
sorted,151,75.48975579470178,0
sorted,152,75.99167351973693,0
sorted,153,76.48948120915016,0
sorted,154,76.99036120129868,0
sorted,155,77.49092741935483,0
sorted,156,77.99048477564114,0
sorted,157,78.49193869426735,0
sorted,158,78.98996242088592,0
sorted,159,79.48919025157207,0
sorted,160,79.98994140624984,0
sorted,161,80.48922748447221,0
sorted,162,80.98842592592595,0
sorted,163,81.48926380368083,0
sorted,164,81.99004382621935,0
sorted,165,82.49034090909096,0
sorted,166,82.98959902108437,0
sorted,167,83.4912050898205,0
sorted,168,83.99097842261914,0
sorted,169,84.48881286982258,0
sorted,170,84.988832720588,0
sorted,171,85.48830409356736,0
sorted,172,85.98955305232543,0
sorted,173,86.48970375722493,0
sorted,174,86.99016702586187,0
