tag,length,average_distance,point
random,91,30.032795329670332,96
random,92,30.358186141304348,96
random,93,30.7757056451613,96
random,94,30.93010305851063,96
random,95,31.55715460526315,96
random,96,31.702311197916657,96
random,97,32.10293170103093,96
random,98,32.45065369897958,96
random,99,32.83720012626263,96
random,100,32.91375000000001,96
random,101,33.38706683168316,96
random,102,33.804610906862756,96
random,103,34.07911104368934,96
random,104,34.64062500000001,96
random,105,34.89330357142856,96
random,106,35.16995872641512,96
random,107,35.81812207943925,96
random,108,35.79347511574074,96
random,109,36.09052465596332,96
random,110,36.57876420454545,96
random,111,36.79272240990987,96
random,112,37.226143973214306,96
random,113,37.27205475663719,96
random,114,37.76123903508772,96
random,115,38.1421875,96
random,116,38.13557381465519,96
random,117,38.67334401709402,96
random,118,39.18048199152542,96
random,119,39.61246060924369,96
random,120,39.753059895833346,96
random,121,39.98792613636363,96
random,122,40.752241290983626,96
random,123,40.90637703252034,96
random,124,40.97586945564513,96
random,125,41.49581249999996,96
random,126,41.96093750000001,96
random,127,42.14769931102361,96
random,128,42.58258056640625,97
random,129,42.900314922480604,97
random,130,43.109254807692295,97
random,131,43.569596851145036,97
random,132,43.840553977272755,97
random,133,44.19989426691734,97
random,134,44.39884561567165,97
random,135,45.05671296296295,97
random,136,45.18853400735294,97
random,137,45.46424498175182,97
random,138,45.80298913043478,97
random,139,45.97560701438852,97
random,140,46.42025669642858,97
random,141,46.868960549645394,97
random,142,46.91114656690144,97
random,143,47.63319493006996,97
random,144,47.6046549479167,97
random,145,48.10867456896551,97
random,146,48.3777290239726,97
random,147,48.67506377551021,97
random,148,48.95117187499998,97
random,149,49.375419463087226,97
random,150,49.455729166666686,97
random,151,50.19194950331124,97
random,152,50.35433799342104,97
random,153,50.5594873366013,97
random,154,51.398183847402585,97
random,155,51.509475806451626,97
random,156,51.847455929487225,97
random,157,52.24980095541401,97
random,158,52.37277492088611,97
random,159,52.55380306603775,97
random,160,52.916845703125006,97
random,161,53.24975737577638,97
random,162,53.8365162037037,97
random,163,54.18510352760733,97
random,164,54.391434832317096,97
random,165,54.78390151515146,97
random,166,54.77532003012051,97
random,167,55.42435441616769,97
random,168,55.778227306547606,97
random,169,56.04410133136094,97
random,170,56.45482536764708,97
random,171,56.560581140350884,97
random,172,57.09138808139538,97
random,173,57.46175036127169,97
random,174,57.833961925287355,97
random,175,57.88767857142854,97
random,176,58.439231178977224,97
random,177,59.11400953389832,97
random,178,58.83703476123597,97
random,179,58.98485509776531,97
random,180,59.59305555555554,97
random,181,59.763941643646405,97
random,182,60.061984890109905,97
random,183,60.5450392759563,97
random,184,60.828804347826086,97
random,185,61.32732263513513,97
random,186,61.62600806451613,97
random,187,62.177222593582854,97
random,188,62.126703789893604,97
random,189,62.8633019179894,97
random,190,62.74987664473684,97
random,191,63.140625000000036,97
random,192,63.63232421875,98
random,193,63.818045660621756,98
random,194,64.63365818298969,98
random,195,64.69759615384612,98
random,196,64.84693877551027,98
random,197,64.93627062182742,98
random,198,65.68939393939394,98
random,199,65.8105370603015,98
random,200,66.37632812499997,98
random,201,66.27347636815921,98
random,202,66.59568378712869,98
random,203,66.99842210591139,98
random,204,67.58180147058823,98
random,205,68.22282774390244,99
random,206,68.01376668689315,99
random,207,68.46788194444441,99
random,208,68.71998948317307,99
random,209,68.9130906100479,99
random,210,69.52354910714284,99
random,211,69.7835826421801,99
random,212,70.19693396226417,99
random,213,70.94380868544597,99
random,214,70.92015917056077,99
random,215,71.01017441860468,99
random,216,71.70695891203702,99
random,217,72.18515985023045,99
random,218,72.2579200114679,99
random,219,72.56906392694064,99
random,220,73.38196022727273,99
random,221,73.14256928733026,99
random,222,73.93841497747748,99
random,223,74.2406460201794,99
random,224,74.4688895089286,99
random,225,74.31642361111108,99
random,226,74.81526548672566,99
random,227,75.25347604625551,99
random,228,75.26490542763165,99
random,229,75.8600573144105,99
random,230,76.31599864130433,100
random,231,76.5727813852814,100
random,232,77.2525255926724,100
random,233,76.9408865343348,100
random,234,77.55255074786322,100
random,235,77.73341090425531,100
random,236,78.22887976694913,100
random,237,78.51555907172994,100
random,238,79.16924894957992,100
random,239,79.25885852510463,100
random,240,79.34095052083333,100
random,241,79.91497017634855,100
random,242,79.92055139462809,100
random,243,80.38522376543212,100
random,244,80.92257940573774,100
random,245,81.0610331632653,100
random,246,81.73177083333339,100
random,247,82.09052378542512,100
random,248,82.15940020161285,100
random,249,82.50363955823295,100
random,250,82.56899999999997,100
random,251,83.10168700199206,100
random,252,83.56392609126986,100
random,253,83.86891674901185,100
random,254,84.45727731299219,100
random,255,84.95033700980392,100
